13	15
13	8
14	7
13	14
14	8
1	15
4	14
12	7
4	14
13	4
14	2
13	10
8	1
13	13
4	11
13	11
14	8
13	13
13	8
13	13
13	7
13	5
13	2
14	11
4	15
13	13
11	7
7	7
13	7
12	5
13	14
13	4
13	15
13	0
13	3
3	8
13	13
13	3
13	13
1	5
3	8
8	8
3	5
13	8
13	15
13	4
4	2
13	4
13	14
13	8
13	13
13	7
14	7
13	11
13	7
8	8
4	14
13	8
13	8
13	5
13	4
7	5
4	0
4	8
13	14
3	1
13	4
13	8
4	14
4	14
14	8
7	10
4	14
14	8
13	8
13	15
13	8
13	7
13	4
13	4
13	4
13	7
13	3
14	8
4	1
13	8
13	2
4	5
8	10
4	11
13	4
11	7
4	0
13	13
13	14
8	1
13	14
13	14
14	15
4	3
4	5
13	6
7	2
2	10
13	5
13	13
13	3
13	1
8	7
13	5
14	1
13	1
13	5
8	2
7	2
4	2
8	7
4	7
8	15
13	4
13	4
13	4
13	4
13	4
13	7
14	5
7	2
13	1
13	13
13	13
13	4
3	7
14	7
13	14
13	7
4	14
13	4
13	10
13	1
14	5
13	7
14	7
13	4
3	7
14	7
11	12
13	13
14	5
13	8
5	10
13	10
14	7
8	7
13	13
13	2
8	9
14	8
8	7
13	13
13	7
13	15
14	1
13	4
13	4
13	4
1	7
13	8
4	1
13	7
1	7
13	7
4	7
13	14
8	2
14	2
14	14
13	8
4	7
13	2
4	8
3	11
11	15
8	15
13	14
13	7
8	7
7	5
2	2
13	8
14	7
13	4
4	7
13	13
14	8
13	13
13	4
13	14
1	7
13	14
13	7
13	0
13	8
13	8
14	7
13	14
13	13
13	1
3	7
13	11
13	8
13	14
8	5
13	4
1	11
13	7
14	8
14	8
7	5
4	11
7	10
13	13
3	7
13	3
13	2
8	11
11	7
13	4
8	7
13	8
13	13
14	7
14	12
14	10
7	7
13	15
13	14
4	1
13	11
13	13
13	4
7	2
13	12
14	1
8	5
2	0
13	14
1	15
1	1
14	3
13	15
8	8
13	4
13	8
13	13
1	15
13	11
